000008-01012018,1-Jan-18,N2 8AY,N2,1
000009-01012018,1-Jan-18,BR3 1ED,BR3,1
000010-01012018,1-Jan-18,N13 5SX,N13,2
000011-01012018,1-Jan-18,EN1 4LD,EN1,3
000014-01012018,1-Jan-18,E15 1QY,E15,3
000016-01012018,1-Jan-18,,SW16,4
000025-01012018,1-Jan-18,E1W 2RW,E1W,5
000026-01012018,1-Jan-18,,SE9,4
000027-01012018,1-Jan-18,,IG1,4
000028-01012018,1-Jan-18,,SE13,4
000032-01012018,1-Jan-18,SW3 4LW,SW3,5
000033-01012018,1-Jan-18,SW19 1ES,SW19,5
000035-01012018,1-Jan-18,,SW6,4
000036-01012018,1-Jan-18,,BR5,4
000037-01012018,1-Jan-18,RM5 2RB,RM5,5
000038-01012018,1-Jan-18,,HA8,4
000039-01012018,1-Jan-18,IG8 7PJ,IG8,5
000041-01012018,1-Jan-18,,N8,4
000046-01012018,1-Jan-18,E13 8JY,E13,2
000048-01012018,1-Jan-18,,NW5,4
000049-01012018,1-Jan-18,,E5,4
000052-01012018,1-Jan-18,W13 0NW,W13,2
000053-01012018,1-Jan-18,E15 4DH,E15,5
000054-01012018,1-Jan-18,SW6 6EA,SW6,1
000057-01012018,1-Jan-18,SW15 2SH,SW15,1
000058-01012018,1-Jan-18,HA3 0XX,HA3,5
000060-01012018,1-Jan-18,IG1 1FT,IG1,1
000061-01012018,1-Jan-18,N17 6PR,N17,2
000062-01012018,1-Jan-18,E15 1HQ,E15,5
000064-01012018,1-Jan-18,E12 6SR,E12,2
000066-01012018,1-Jan-18,NW4 4DD,NW4,5
000067-01012018,1-Jan-18,,E15,4
000068-01012018,1-Jan-18,HA9 8AU,HA9,6
000070-01012018,1-Jan-18,TW13 4TN,TW13,2
000071-01012018,1-Jan-18,,CR4,4
000072-01012018,1-Jan-18,IG7 4EX,IG7,2
000073-01012018,1-Jan-18,BR1 5DR,BR1,2
000074-01012018,1-Jan-18,N4 2PZ,N4,2
000075-01012018,1-Jan-18,EC1V 1LJ,EC1V,3
000076-01012018,1-Jan-18,IG11 8ED,IG11,1
000077-01012018,1-Jan-18,E15 3QG,E15,5
000078-01012018,1-Jan-18,IG11 0JD,IG11,1
000079-01012018,1-Jan-18,RM10 9SD,RM10,2
000080-01012018,1-Jan-18,,NW9,4
000081-01012018,1-Jan-18,RM10 8TE,RM10,2
000084-01012018,1-Jan-18,SE18 6JR,SE18,1
000085-01012018,1-Jan-18,IG2 6JD,IG2,2
000086-01012018,1-Jan-18,,DA17,4
000087-01012018,1-Jan-18,SW6 6EA,SW6,1
000088-01012018,1-Jan-18,N1 5TP,N1,5
000090-01012018,1-Jan-18,UB10 9LS,UB10,3
000096-01012018,1-Jan-18,E3 4NE,E3,3
000105-01012018,1-Jan-18,NW9 6RS,NW9,5
000113-01012018,1-Jan-18,IG11 0FG,IG11,2
000115-01012018,1-Jan-18,,UB7,4
000117-01012018,1-Jan-18,,SM6,4
000120-01012018,1-Jan-18,,CR8,4
000121-01012018,1-Jan-18,,SE28,1
000123-01012018,1-Jan-18,E17 5QS,E17,5
000126-01012018,1-Jan-18,N17 6QA,N17,1
000127-01012018,1-Jan-18,,N8,4
000136-01012018,1-Jan-18,E15 4LB,E15,5
000137-01012018,1-Jan-18,E9 6BT,E9,2
000138-01012018,1-Jan-18,SE18 1PU,SE18,2
000139-01012018,1-Jan-18,,W11,4
000141-01012018,1-Jan-18,NW8 8TT,NW8,2
000143-01012018,1-Jan-18,,N19,4
000144-01012018,1-Jan-18,E9 5GX,E9,5
000145-01012018,1-Jan-18,E14 3AP,E14,2
000147-01012018,1-Jan-18,SE18 6TY,SE18,3
000148-01012018,1-Jan-18,NW1 2AY,NW1,1
000150-01012018,1-Jan-18,SE18 3SA,SE18,3
000152-01012018,1-Jan-18,N16 8SA,N16,3
000155-01012018,1-Jan-18,,N1,4
000158-01012018,1-Jan-18,SW1A 2JH,SW1A,5
000159-01012018,1-Jan-18,,SW8,4
000160-01012018,1-Jan-18,,WC2E,4
000161-01012018,1-Jan-18,W1J 8NE,W1J,6
000164-01012018,1-Jan-18,,SW15,4
000165-01012018,1-Jan-18,UB10 9LU,UB10,2
000166-01012018,1-Jan-18,EC2A 4AA,EC2A,1
000167-01012018,1-Jan-18,NW10 2UJ,NW10,3
000171-01012018,1-Jan-18,HA5 2PD,HA5,3
000176-01012018,1-Jan-18,E6 3BP,E6,5
000177-01012018,1-Jan-18,,SE26,4
000178-01012018,1-Jan-18,,SM2,4
000180-01012018,1-Jan-18,,SE15,4
000181-01012018,1-Jan-18,,W5,4
000185-01012018,1-Jan-18,NW4 4PJ,NW4,3
000187-01012018,1-Jan-18,E11 1FE,E11,1
000189-01012018,1-Jan-18,E3 2DZ,E3,1
000192-01012018,1-Jan-18,,SW6,4
000193-01012018,1-Jan-18,,SW6,4
000196-01012018,1-Jan-18,N1 1RU,N1,1
000197-01012018,1-Jan-18,,W9,4
000198-01012018,1-Jan-18,,SE15,4
000199-01012018,1-Jan-18,,SE1,4
000200-01012018,1-Jan-18,,W9,4
000201-01012018,1-Jan-18,,E8,4
000204-01012018,1-Jan-18,,NW10,4
000206-01012018,1-Jan-18,HA4 6QX,HA4,3
000207-01012018,1-Jan-18,,UB7,4
000208-01012018,1-Jan-18,EC2M 4PT,EC2M,3
000209-01012018,1-Jan-18,,NW9,4
000211-01012018,1-Jan-18,HA1 4EU,HA1,3
000215-01012018,1-Jan-18,,SW16,4
000216-01012018,1-Jan-18,SE17 3AF,SE17,6
000219-01012018,1-Jan-18,N15 5PF,N15,2
000221-01012018,1-Jan-18,SE12 8EY,SE12,3
000223-01012018,1-Jan-18,,E5,4
000225-01012018,1-Jan-18,N15 5PA,N15,2
000226-01012018,1-Jan-18,,E2,4
000227-01012018,1-Jan-18,SE1 4AU,SE1,1
000229-01012018,1-Jan-18,E17 9PP,E17,2
000231-01012018,1-Jan-18,SE26 5GJ,SE26,3
000232-01012018,1-Jan-18,EN1 1XX,EN1,3
000234-01012018,1-Jan-18,,E14,4
000235-01012018,1-Jan-18,EC2A 4EG,EC2A,1
000236-01012018,1-Jan-18,,TW8,4
000241-01012018,1-Jan-18,,W13,4
000242-01012018,1-Jan-18,,E6,4
000243-01012018,1-Jan-18,EC2M 4RB,EC2M,5
000244-01012018,1-Jan-18,,E4,4
